SN,Date,LTP,%change,High,Low,Open,Qty.,Turnover
1,2023/12/21,207.00,-1.9,213.00,206.00,213.00,"180,068","37,535,302.90"
2,2023/12/20,211.00,3.43,216.20,206.00,208.00,"335,098","70,645,540.00"
3,2023/12/19,204.00,0.99,209.00,202.60,205.00,"272,573","55,879,493.60"
4,2023/12/17,197.80,-0.35,199.00,189.00,194.60,"170,156","33,398,432.30"
5,2023/12/14,198.50,0.25,200.00,196.10,199.00,"75,241","14,880,165.40"
6,2023/12/13,198.00,-0.5,202.90,197.50,199.00,"109,189","21,748,943.50"
7,2023/12/12,199.00,-0.95,202.50,197.20,200.90,"104,498","20,893,653.50"
8,2023/12/11,200.90,-1.52,208.00,197.00,208.00,"151,441","30,500,205.40"
9,2023/12/10,204.00,6.81,206.50,191.00,191.00,"15,408","3,154,322.80"
10,2023/12/07,191.00,0.26,193.00,188.40,191.00,"39,359","7,503,839.80"
11,2023/12/06,190.50,0.26,190.50,187.00,190.00,"51,139","9,623,547.70"
12,2023/12/05,190.00,-1.55,195.00,190.00,193.00,"75,574","14,504,477.00"
13,2023/12/04,193.00,-1.53,196.50,193.00,196.00,"79,593","15,459,235.30"
14,2023/12/03,196.00,-1.01,201.00,194.50,201.00,"60,450","11,830,376.50"
15,2023/11/30,198.00,-1.98,200.00,197.00,200.00,"63,984","12,654,358.70"
16,2023/11/29,202.00,-3.31,205.00,200.00,208.91,"65,866","13,278,908.30"
17,2023/11/28,211.00,0.96,212.00,209.00,209.90,"168,778","35,517,870.50"
18,2023/11/27,209.00,0.48,210.00,207.10,209.00,"96,183","20,043,724.10"
19,2023/11/26,208.00,0,209.00,205.20,206.00,"76,292","15,850,077.30"
20,2023/11/23,208.00,0.97,208.10,204.00,206.00,"81,017","16,691,027.60"
21,2023/11/22,206.00,-0.05,208.00,202.70,204.00,"75,220","15,433,653.10"
22,2023/11/21,206.10,-0.43,210.00,204.10,210.00,"80,348","16,534,861.30"
23,2023/11/20,207.00,-0.48,212.00,206.00,212.00,"76,289","15,829,767.90"
24,2023/11/09,208.00,0.97,208.00,203.60,205.00,"37,441","7,705,699.50"
25,2023/11/08,206.00,0.29,206.50,203.10,204.00,"46,836","9,610,759.30"
26,2023/11/07,205.40,1.18,205.50,203.30,205.00,"53,294","10,886,392.70"
27,2023/11/06,203.00,1,203.00,200.00,203.00,"90,878","18,359,976.60"
28,2023/11/05,201.00,-2.43,206.00,199.70,206.00,"158,070","31,779,874.70"
29,2023/11/02,206.00,-1.39,209.60,205.00,208.00,"62,403","12,875,099.40"
30,2023/11/01,208.90,0.48,210.00,206.30,207.00,"60,135","12,518,140.60"
31,2023/10/31,207.90,-0.53,209.00,206.10,209.00,"21,139","4,377,814.30"
32,2023/10/30,209.00,1.95,209.10,201.20,205.00,"64,960","13,351,129.30"
33,2023/10/29,205.00,-1.82,207.00,204.00,206.60,"39,634","8,155,256.60"
34,2023/10/19,208.80,0,211.00,205.20,210.90,"37,778","7,876,861.40"
35,2023/10/18,208.80,3.37,208.90,202.00,202.00,"51,411","10,632,409.70"
36,2023/10/17,202.00,1.66,207.00,200.20,201.00,"48,295","9,789,846.90"
37,2023/10/16,198.70,-1.58,202.00,198.50,201.00,"86,878","17,366,483.80"
38,2023/10/12,201.90,-0.15,203.90,200.00,203.90,"96,885","19,498,592.20"
39,2023/10/11,202.20,0.1,205.00,201.10,202.00,"67,161","13,602,458.00"
40,2023/10/10,202.00,-1.46,207.80,202.00,207.80,"71,975","14,593,130.00"
41,2023/10/09,205.00,-0.97,208.00,203.00,207.00,"70,335","14,383,747.30"
42,2023/10/08,207.00,-0.48,212.00,204.90,212.00,"88,765","18,377,780.90"
43,2023/10/05,208.00,0.48,208.10,206.10,206.10,"84,871","17,616,378.90"
44,2023/10/04,207.00,0.24,208.40,204.10,206.00,"78,383","16,179,664.10"
45,2023/10/03,206.50,-0.43,211.50,206.00,211.50,"64,254","13,278,172.20"
46,2023/10/02,207.40,0.24,209.00,204.00,204.00,"100,887","20,850,547.10"
47,2023/10/01,206.90,-0.77,208.90,204.60,208.00,"83,973","17,363,649.10"
48,2023/09/27,208.50,-0.57,210.00,207.30,210.00,"50,400","10,490,775.20"
49,2023/09/26,209.70,2.14,209.70,206.10,208.00,"96,915","20,158,397.60"
50,2023/09/25,205.30,0.15,208.00,204.00,208.00,"53,006","10,871,637.30"
51,2023/09/24,205.00,-1.35,209.00,204.20,208.00,"75,290","15,456,477.80"
52,2023/09/21,207.80,2.16,210.00,205.60,207.40,"111,506","23,211,144.90"
53,2023/09/19,203.40,-0.49,205.00,202.00,204.00,"35,987","7,301,756.90"
54,2023/09/18,204.40,0.34,205.00,201.10,205.00,"33,036","6,722,859.60"
55,2023/09/17,203.70,-0.63,208.00,203.00,205.00,"88,264","18,103,425.60"
56,2023/09/13,205.00,0.94,205.00,203.10,204.00,"51,737","10,564,973.00"
57,2023/09/12,203.10,-0.93,206.00,202.10,206.00,"45,075","9,174,488.30"
58,2023/09/10,199.50,0.61,200.90,198.30,199.00,"76,639","15,307,067.40"
59,2023/09/07,198.30,-0.9,202.00,198.00,200.00,"56,488","11,252,020.80"
60,2023/09/05,200.10,-1.43,203.10,200.00,200.60,"70,064","14,071,359.30"
61,2023/09/04,203.00,-0.25,207.00,201.10,206.00,"59,675","12,111,695.60"
62,2023/09/03,203.50,-0.88,208.00,203.00,208.00,"70,376","14,377,268.10"
63,2023/08/30,205.30,-0.73,210.90,204.50,210.90,"87,846","18,124,569.60"
64,2023/08/29,206.80,-0.34,208.00,206.00,206.10,"29,955","6,195,673.50"
65,2023/08/28,207.50,0.97,210.00,204.00,204.00,"59,110","12,283,036.00"
66,2023/08/24,206.00,-1.9,210.50,205.50,209.00,"99,709","20,695,501.30"
67,2023/08/23,210.00,0.96,212.00,208.00,208.00,"58,048","12,206,026.60"
68,2023/08/22,208.00,-0.19,210.00,205.10,210.00,"59,357","12,320,821.00"
69,2023/08/21,208.40,-0.43,211.00,206.00,210.00,"63,144","13,194,603.70"
70,2023/08/20,209.30,-1.04,213.00,209.00,212.00,"97,665","20,513,877.50"
71,2023/08/17,211.50,0.24,214.00,210.00,211.00,"44,801","9,488,238.70"
72,2023/08/16,211.00,-1.22,213.70,209.00,213.70,"87,457","18,437,305.10"
73,2023/08/15,213.60,-1.11,218.00,212.10,218.00,"68,773","14,742,997.60"
74,2023/08/14,216.00,0.51,220.00,215.00,218.40,"94,254","20,463,567.90"
75,2023/08/13,214.90,2.33,218.00,209.00,213.00,"130,578","27,950,786.40"
76,2023/08/10,210.00,-1.41,216.80,210.00,215.90,"105,657","22,473,614.60"
77,2023/08/09,213.00,2.8,213.00,203.10,207.50,"104,293","21,541,251.10"
78,2023/08/08,207.20,-2.72,215.00,207.00,211.00,"127,065","26,725,097.40"
79,2023/08/07,213.00,-1.25,219.00,210.80,219.00,"146,484","31,396,026.60"
80,2023/08/06,215.70,-3.71,230.00,213.50,228.40,"391,161","85,577,338.50"
81,2023/08/03,224.00,0.9,225.00,221.50,224.40,"134,917","30,129,802.60"
82,2023/08/02,222.00,1.6,222.90,217.00,218.60,"128,173","28,200,067.70"
83,2023/08/01,218.50,-0.68,224.00,217.10,220.00,"153,770","34,028,082.30"
84,2023/07/31,220.00,2.33,222.00,213.40,217.00,"173,295","37,843,182.40"
85,2023/07/30,215.00,-2.05,223.70,212.70,220.00,"175,072","37,930,164.60"
86,2023/07/27,219.50,-1.35,226.00,218.20,223.00,"184,952","40,962,810.50"
87,2023/07/26,222.50,0.09,226.40,218.10,223.00,"235,135","52,466,988.40"
88,2023/07/25,222.30,-3.77,235.00,222.00,231.00,"347,942","78,283,285.80"
89,2023/07/24,231.00,3.63,241.90,215.00,220.00,"828,678","191,648,363.20"
90,2023/07/23,222.90,9.32,223.50,205.00,205.00,"570,751","123,422,835.30"
91,2023/07/20,203.90,2,206.00,200.00,200.00,"266,291","54,111,937.20"
92,2023/07/19,199.90,2.51,200.00,194.00,195.00,"235,210","46,678,152.40"
93,2023/07/18,195.00,2.36,197.20,191.00,193.00,"223,434","43,618,680.20"
94,2023/07/17,190.50,2.42,192.00,184.50,185.50,"112,081","21,195,041.10"
95,2023/07/16,186.00,1.36,186.80,182.00,186.30,"71,941","13,232,950.60"
96,2023/07/13,183.50,1.66,185.00,182.00,182.90,"86,772","15,922,680.00"
97,2023/07/12,180.50,1.4,183.00,178.20,178.20,"75,411","13,594,353.20"
